Code,String (Repr)
231,b'\xe7'
232,b'\xe8'
233,b'\xe9'
234,b'\xea'
235,b'\xeb'
236,b'\xec'
237,b'\xed'
238,b'\xee'
239,b'\xef'
240,b'\xf0'
241,b'\xf1'
242,b'\xf2'
243,b'\xf3'
244,b'\xf4'
245,b'\xf5'
246,b'\xf6'
247,b'\xf7'
248,b'\xf8'
249,b'\xf9'
250,b'\xfa'
251,b'\xfb'
252,b'\xfc'
253,b'\xfd'
254,b'\xfe'
255,b'\xff'
256,b'Th'
257,b'he'
258,b'e '
259,b' q'
260,b'qu'
261,b'ui'
262,b'ic'
263,b'ck'
264,b'k '
265,b' b'
266,b'br'
267,b'ro'
268,b'ow'
269,b'wn'
270,b'n '
271,b' f'
272,b'fo'
273,b'ox'
274,b'x '
275,b' j'
276,b'ju'
277,b'um'
278,b'mp'
279,b'ps'
280,b's '
281,b' o'
282,b'ov'
283,b've'
284,b'er'
285,b'r '
286,b' t'
287,b'th'
288,b'he '
289,b' l'
290,b'la'
291,b'az'
292,b'zy'
293,b'y '
294,b' d'
295,b'do'
296,b'og'
297,b'g.'
298,b'. '
299,b' T'
300,b'The'
301,b'e q'
302,b'qui'
303,b'ick'
304,b'k b'
305,b'bro'
306,b'own'
307,b'n f'
308,b'fox'
309,b'x j'
310,b'jum'
311,b'mps'
312,b's o'
313,b'ove'
314,b'er '
315,b' th'
316,b'he l'
317,b'laz'
318,b'zy '
319,b' do'
320,b'og '
321,b' a'
322,b'ag'
323,b'ga'
324,b'ai'
325,b'in'
326,b'n.'
327,b'.\n'
328,b'\nT'
329,b'To'
330,b'o '
331,b' be'
332,b'e o'
333,b'or'
334,b'r n'
335,b'no'
336,b'ot'
337,b't '
338,b' to'
339,b'o b'
340,b'be'
341,"b'e,'"
342,"b', '"
343,b' tha'
344,b'at'
345,b't i'
346,b'is'
347,b's t'
348,b'the'
349,b'e qu'
350,b'ue'
351,b'es'
352,b'st'
353,b'ti'
354,b'io'
355,b'on'
356,b'n. '
357,b' W'
358,b'Wh'
359,b'het'
360,b'ther'
361,"b""r '"""
362,"b""'t"""
363,b'tis'
364,b's n'
365,b'nob'
366,b'bl'
367,b'le'
368,b'er i'
369,b'in '
370,b' the'
371,b'e m'
372,b'mi'
373,b'ind'
374,b'd '
375,b' to '
376,b' s'
377,b'su'
378,b'uf'
379,b'ff'
380,b'fe'
381,b'er t'
382,b'the '
383,b' sl'
384,b'li'
385,b'ing'
386,b'gs'
387,b's a'
388,b'an'
389,b'nd'
390,b'd a'
391,b'ar'
392,b'rr'
393,b'row'
394,b'ws'
395,b's of'
396,b'f '
397,b' ou'
398,b'ut'
399,b'tr'
400,b'ra'
401,b'age'
402,b'eo'
403,b'ou'
404,b'us'
405,b's f'
406,b'for'
407,b'rt'
408,b'tu'
409,b'un'
410,b'ne'
411,b'e.'
412,b'.\nS'
413,b'Sh'
414,b'he s'
415,b'se'
416,b'el'
417,b'll'
418,b'ls'
419,b's s'
420,b'sea'
421,b'as'
422,b'sh'
423,b'hel'
424,b'lls'
425,b's b'
426,b'by'
427,b'y t'
428,b'the s'
429,b'seas'
430,b'sho'
431,b'ore'
432,b'e. '
433,b' Th'
434,b'he sh'
435,b'hell'
436,b'ls '
437,b' sh'
438,b'he se'
439,b'ell'
440,b'ls a'
441,b'are'
442,b'e s'
443,b'sur'
444,b're'
445,b'ely'
446,b'y s'
447,b'seash'
448,b'hells'
449,b's.'
450,b'.\nP'
451,b'Pe'
452,b'et'
453,b'te'
454,b'er P'
455,b'Pi'
456,b'ip'
457,b'pe'
458,b'er p'
459,b'pi'
460,b'icke'
461,b'ed'
462,b'd a '
463,b' p'
464,b'pec'
465,b'ck '
466,b' of'
467,b'f p'
468,b'pic'
469,b'ckl'
470,b'led'
471,b'd p'
472,b'pep'
473,b'pp'
474,b'per'
475,b'rs'
476,b's. '
477,b' A'
478,b'A '
479,b' pe'
480,b'ec'
481,b'ck o'
482,b'of'
483,b'f pi'
484,b'ickl'
485,b'led '
486,b' pep'
487,b'ppe'
488,b'ers'
489,b's P'
490,b'Pet'
491,b'ter'
492,b'r P'
493,b'Pip'
494,b'per '
495,b' pi'
496,b'icked'
497,b'd.'
498,b'.\nH'
499,b'Ho'
500,b'ow '
501,b' m'
502,b'mu'
503,b'uc'
504,b'ch'
505,b'h '
506,b' w'
507,b'wo'
508,b'oo'
509,b'od'
510,b'd w'
511,b'wou'
512,b'ul'
513,b'ld'
514,b'd a w'
515,b'woo'
516,b'odc'
517,b'chu'
518,b'uck'
519,b'k c'
520,b'chuc'
521,b'ck i'
522,b'if'
523,b'f a'
524,b'a '
525,b' wo'
526,b'ood'
527,b'dc'
528,b'chuck'
529,b'k co'
530,b'oul'
531,b'ld '
532,b' c'
533,b'chuck '
534,b' woo'
535,b'od?'
536,b'?\n'
537,b'\nH'
538,b'He'
539,b'e w'
540,b'woul'
541,b'ld c'
542,"b'chuck,'"
543,"b', h'"
544,b'he w'
545,b'would'
546,"b'd,'"
547,"b', a'"
548,b'as '
549,b' mu'
550,b'uch'
551,b'h a'
552,b'as h'
553,b'he c'
554,b'co'
555,b'ould'
556,"b'd, '"
557,b' an'
558,b'nd '
559,b' ch'
560,b'hu'
561,b'uck '
562,b' as'
563,b's m'
564,b'muc'
565,b'ch '
566,b' wood'
567,b'd as'
568,b's a '
569,b' woodc'
570,b'chuck w'
571,b'would '
572,b' i'
573,b'if '
574,b' a '
575,b' woodch'
576,b'huc'
577,b'ck c'
578,b'cou'
579,b'uld'
580,b'd c'
581,b'chuck wo'
582,b'ood.'
583,b'.\nB'
584,b'Ba'
585,b'ana'
586,b'ana '
587,b' ba'
588,b'anan'
589,b'na'
590,b'a b'
591,b'ba'
592,b'anana'
593,b'a.'
594,b'. B'
595,b'Ban'
596,b'nda'
597,b'ana.'
598,b'. Ba'
599,b'and'
600,b'da'
601,b'ana.\n'
602,b'\nM'
603,b'Mi'
604,b'iss'
605,b'si'
606,b'issi'
607,b'ipp'
608,b'pi.'
609,b'. M'
610,b'Mis'
611,b'ss'
612,b'sis'
613,b'ssi'
614,b'ippi'
615,b'i.'
616,b'. Mi'
617,b'issis'
618,b'ssip'
619,b'ppi'
620,b'i.\n'
621,b'\nTh'
622,b'hi'
623,b'is '
624,b' is'
625,b's a t'
626,b'tes'
627,b'st.'
628,b'. T'
629,b'Thi'
630,b'is i'
631,b'is o'
632,b'onl'
633,b'ly'
634,b'y a'
635,b'a t'
636,b'test'
637,b't.'
638,b'. Te'
639,b'est'
640,b'tin'
641,b'ng'
642,"b'g,'"
643,"b', t'"
644,b'testi'
645,"b'ing,'"
646,"b', o'"
647,b'one'
648,"b'e, '"
649,b' tw'
650,"b'wo,'"
651,"b', th'"
652,b'hr'
653,b'ree'
654,b'e.\n'
655,b'\nC'
656,b'Co'
657,b'om'
658,b'mpr'
659,b'res'
660,b'ssio'
661,b'on '
662,b' is '
663,b' co'
664,b'ool'
665,b'l.'
666,b'. C'
667,b'Com'
668,b'mpre'
669,b'ess'
670,b'sio'
671,b'on i'
672,b'is u'
673,b'use'
674,b'ef'
675,b'fu'
676,b'ul.'
677,b'. Co'
678,b'omp'
679,b'pr'
680,b'ress'
681,b'sion'
682,b'n i'
683,b'is f'
684,b'fun'
685,b'n.\n'
686,b'\nL'
687,b'LZ'
688,b'ZW'
689,b'W '
690,b' com'
691,b'mpres'
692,b'ssion'
693,b'n a'
694,b'al'
695,b'lg'
696,b'go'
697,b'ori'
698,b'it'
699,b'thm'
700,b'm.'
701,b'. L'
702,b'LZW'
703,b'W c'
704,b'com'
705,b'mpress'
706,b'sion.'
707,b'. LZ'
708,b'ZW '
709,b' al'
710,b'lgo'
711,b'orit'
712,b'thm.'
713,b'.\nT'
714,b'The '
715,b' r'
716,b'rai'
717,b'in i'
718,b'in S'
719,b'Sp'
720,b'pa'
721,b'ain'
722,b'n s'
723,b'sta'
724,b'ay'
725,b'ys'
726,b's ma'
727,b'ainl'
728,b'ly '
729,b' in'
730,b'n t'
731,b'the p'
732,b'pl'
733,b'lai'
734,b'in.'
735,b'.\nI'
736,b'I '
737,b' sc'
738,b'cr'
739,b'rea'
740,b'am'
741,"b'm,'"
742,"b', y'"
743,b'yo'
744,b'ou '
745,b' scr'
746,b'ream'
747,"b'm, '"
748,b' we'
749,b'e a'
750,b'all'
751,b'l '
752,b' scre'
753,b'ea'
754,b'am '
755,b' fo'
756,b'or '
757,b' ic'
758,b'ce'
759,b'e c'
760,b'cre'
761,b'eam'
762,b'm.\n'
763,b'\nD'
764,b'Do'
765,b'oub'
766,b'ble'
767,b'e b'
768,b'bu'
769,b'ub'
770,b'bb'
771,b'ble '
772,b' g'
773,b'gu'
774,b'um '
775,b' bu'
776,b'ubb'
777,b'bles'
778,b's d'
779,b'dou'
780,b'ubl'
781,b'le.'
782,b'.\nF'
783,b'Fr'
784,b'red'
785,b'd f'
786,b'fed'
787,b'd T'
788,b'Te'
789,b'ed '
790,b' br'
791,b'read'
792,"b'd, a'"
793,b'and '
794,b' Te'
795,b'ed f'
796,b'fed '
797,b' F'
798,b'Fre'
799,b'ed b'
800,b'bre'
801,b'ead'
802,b'd.\n'
803,b'\nB'
804,b'Be'
805,b'ett'
806,b'ty'
807,b'y B'
808,b'Bo'
809,b'ott'
810,b'ter '
811,b' bo'
812,b'oug'
813,b'gh'
814,b'ht'
815,b't s'
816,b'so'
817,b'ome'
818,b'e bu'
819,b'utt'
820,b'ter b'
821,b'but'
822,b't sh'
823,b'he sa'
824,b'aid'
825,b'd t'
826,b'the b'
827,b'butt'
828,"b""ter'"""
829,"b""'s"""
830,b's bi'
831,b'itt'
832,b'ter.'
833,b'.\nIf'
834,b'f I'
835,b'I p'
836,b'pu'
837,b'ut '
838,b' it'
839,b't in'
840,b'n m'
841,b'my'
842,b'y b'
843,b'bat'
844,b'tt'
845,"b'ter,'"
846,"b', i'"
847,b'it '
848,b' wi'
849,b'il'
850,b'll '
851,b' ma'
852,b'ak'
853,b'ke'
854,b'e my'
855,b'y ba'
856,b'att'
857,b'ter bi'
858,b'itte'
859,b'er.'
860,b'.\nBu'
861,b'ut a'
862,b'a bi'
863,b'it o'
864,b'of '
865,b' bet'
866,b'tte'
867,b'er b'
868,b'butte'
869,b'er w'
870,b'wi'
871,b'ill'
872,b'l m'
873,b'ma'
874,b'ake'
875,b'e my '
876,b' bat'
877,b'tter'
878,b'r b'
879,b'bet'
880,b'tter.'
881,b'.\nSo'
882,"b""o '"""
883,"b""'tw"""
884,b'wa'
885,b'as b'
886,b'bett'
887,b'ter B'
888,b'Bet'
889,b'tty'
890,b'y Bo'
891,b'otte'
892,b'er bo'
893,b'ough'
894,b'ht '
895,b' a b'
896,b'bi'
897,b'it of'
898,b'f b'
899,b'bette'
900,b'er bu'
901,b'utte'
